教育频道,#genre#
HBO FAMILY,http://212.102.60.231/HBO_FAMILY/index.m3u8

NBA TV,http://212.102.60.231/NBA_TV/index.m3u8

Lifetime,http://212.102.60.231/LIFETIME/index.m3u8

nick jr.,http://212.102.60.231/NICK_JR/index.m3u8

浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8

浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8

浙江综合,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8

浙江影视娱乐,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8

浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8

浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8

浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8

浙江之江记录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8

ABC News,https://content.uplynk.com/channel/3324f2467c414329b3b0cc5cd987b6be.m3u8

Action Hollywood Movies,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-actionhollywood-samsungnz/playlist.m3u8

Al Jazeera 半岛电视台 卡塔尔,http://live-hls-web-aje.getaj.net/AJE/01.m3u8

aMC 电影,https://5def33c73f084e11a19ca77697d6b413.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_AMCPresents/playlist.m3u8

AMC Thrillers 电影,https://436f59579436473e8168284cac5d725f.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_RushByAMC/playlist.m3u8

arirang Korea,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8

arirang Korea,http://amdlive.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8

astro AWANI 马来西亚,https://d2idp3hzkhjpih.cloudfront.net/out/v1/4b85d9c2bf97413eb0c9fd875599b837/index.m3u8

BBC America,http://208.86.19.13:81/34.stream/index.m3u8

BBC America,https://d2vnbkvjbims7j.cloudfront.net/containerA/LTN/playlist.m3u8

BBC news 英国,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8

Bloomberg 美国,https://www.bloomberg.com/media-manifest/streams/phoenix-us.m3u8

Bloomberg 亚洲,https://www.bloomberg.com/media-manifest/streams/asia.m3u8

Boxing TV,https://1180885077.rsc.cdn77.org/HLS/BOXINGTV.m3u8

CBN News 美国,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8

CBS News 美国,https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master.m3u8

CBS News 美国,https://dai.google.com/linear/hls/event/Sid4xiTQTkCT1SLu6rjUSQ/master.m3u8

CBS Mixible (ET),https://dai.google.com/linear/hls/event/xrVrJYTmTfitfXBQfeZByQ/master.m3u8

CBS Sports,https://dai.google.com/linear/hls/event/GxrCGmwST0ixsrc_QgB6qw/master.m3u8

CNA 新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8

DW 德国,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/stream05/streamPlaylist.m3u8

EWTN 宗教,https://cdn3.wowza.com/1/QjRzVXJtVml5SUVx/WGJRSWxz/hls/live/playlist.m3u8

Fashion TV,https://fash1043.cloudycdn.services/slive/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/playlist.m3u8

Fashion TV Midnite,https://fash1043.cloudycdn.services/slive/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/chunklist_b3628000_t64MTA4MHA=.m3u8

Fite TV,https://4d362f8e.wurl.com/U3BvcnRzVFZfUEZMTU1BX0hMUw/playlist.m3u8

Global NEWS 加拿大,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/.m3u8

Horror Machine,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/horrormachine/playlist.m3u8

INDIA TODAY,https://feeds.intoday.in/hltapps/api/master.m3u8

INDIA TODAY,https://indiatodaylive.akamaized.net/hls/live/2014320/indiatoday/indiatodaylive/playlist.m3u8

Kids TV,https://jansonmedia-kidstv-1-us.xiaomi.wurl.tv/playlist.m3u8

KMTV 3 News Now OMAHA,https://content.uplynk.com/channel/328d1434fb51476cb6567c74d5b2cc70.m3u8

Kordia TV 音乐,https://ptvlive.kordia.net.nz/out/v1/3fc2254c865a457c8d7fbbce227a2aae/index.m3u8

M2o 音乐,https://streamcdnb2-4c4b867c89244861ac216426883d1ad0.msvdn.net:443/live/S62628868/uhdWBlkC1AoO/chunklist_b2428000.m3u8

mix fm 音乐,http://strm.mixlive.eu/mixfm/tracks-v3a1/mono.m3u8

MOTO AMERICA TV,https://1422977263.rsc.cdn77.org/HLS/MOTOAMERICA_SCTE_Max.m3u8

MOVIE SPHERE,https://moviesphereuk-samsunguk.amagi.tv/playlist.m3u8

MTV Hits,http://45.88.92.3/tr3_MTVHits_SD/index.m3u8?token=test

NBC Home,https://nbculocallive.akamaized.net/hls/live/2037096/lx/use1.m3u8

New Movies 韩国电影,https://bd281c27a16f4a7fb4a88260378e8082.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Samsung_NewMovies/playlist.m3u8

New Movies 韩国电影,https://7732c5436342497882363a8cd14ceff4.mediatailor.us-east-1.amazonaws.com/v1/master/04fd913bb278d8775298c26fdca9d9841f37601f/Plex_NewMovies/playlist.m3u8

NEWSMAX 美国,https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8

NINJA Kidz TV,https://playworksdigital-ninjakidztv-1-eu.xiaomi.wurl.tv/playlist.m3u8

PBS Kids,https://2-fss-2.streamhoster.com/pl_140/amlst:200914-1298290/playlist.m3u8

Real Madrid 皇马足球俱乐部,https://rmtv.akamaized.net/hls/live/2043153/rmtv-es-web/master.m3u8

Real Wild 新西兰,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg00426-littledotstudio-realwildnz-samsungnz/playlist.m3u8

Red Bull TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8

Red Bull TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8

Rush by AMC 电影,https://436f59579436473e8168284cac5d725f.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/Plex_RushByAMC/playlist.m3u8

Russia Today 俄罗斯,https://rt-glb.rttv.com/dvr/rtnews/playlist.m3u8

Russia Today 俄罗斯,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8

Russia Today Documentary 俄罗斯,https://rt-rtd.rttv.com/dvr/rtdoc/playlist.m3u8

SBS 韩国,http://61.82.49.4:1935/live/_definst_/tv.stream/chunklist_w432889607.m3u8

Schwab Network 财经,https://tdameritrade-distro.amagi.tv/playlist.m3u8

Story TV,https://2-fss-1.streamhoster.com/pl_122/206858-4412976-1/chunklist.m3u8

TAIWAN PLUS,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8

The Weather Channel,https://db691j6te7mt4.cloudfront.net/out/v1/f65bdb9d5ac1498ba700027b5ca8a383/index_5.m3u8

TNT 体育频道 美国,https://turnerlive.warnermediacdn.com/hls/live/2023168/tnteast/slate/VIDEO_0_3564000.m3u8

Travel 4K,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/4k-travel-tv/manifest.m3u8

True History,https://dai.google.com/linear/hls/event/IhMDzQa-SGCpF12Em4b3jg/master.m3u8

tv Peru,https://cdnhd.iblups.com/hls/777b4d4cc0984575a7d14f6ee57dbcaf.m3u8

V2Beat 音乐,https://abr.de1se01.v2beat.live/playlist.m3u8

WildEarth,https://wildearth-plex.amagi.tv/master.m3u8

WildEarth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8

World Poker Tour,https://d3w4n3hhseniak.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/WPT-DistroTV/150.m3u8

Xplore,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungin-xplore-samsungin/playlist.m3u8

Xplore,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg00111-hearstmediaprod-xploreintlnl-samsungnl/playlist.m3u8

Yahoo Finance (雅虎财经 英文频道),https://d1ewctnvcwvvvu.cloudfront.net/playlist.m3u8
电影频道,#genre#
护士宿舍之淫指,https://s1.bfllvip.com/video/hushisushezhiyinzhi/HD/index.m3u8

情事爆发,https://s1.bfllvip.com/video/qingshibaofa/中字/index.m3u8

田埂精灵,https://s1.bfllvip.com/video/tiangengjingling/HD/index.m3u8

梦犯,https://s1.bfllvip.com/video/mengfan/HD中字/index.m3u8

应召名册,https://s1.bfllvip.com/video/yingzhaomingce/中字/index.m3u8

俄罗斯洛丽塔,https://s1.bfllvip.com/video/eluosiluolita/高清/index.m3u8

亚当的六个女人,https://s1.bfllvip.com/video/yadangdeliugenvren/HD/index.m3u8

欲海双艳,https://s1.bfllvip.com/video/yuhaishuangyan/中字/index.m3u8

欲海焚琴,https://s1.bfllvip.com/video/yuhuofenqin/中字/index.m3u8

欲火狂密,https://s1.bfllvip.com/video/yuhuokuangmixiufuban/中字/index.m3u8

皮衣姐妹,https://s1.bfllvip.com/video/piyijiemei/HD/index.m3u8

欲火狂情,https://s1.bfllvip.com/video/yuhuokuangqing/中字/index.m3u8

欲火龙珠,https://s1.bfllvip.com/video/yuhuolongzhu/HD/index.m3u8

欲兽,https://s1.bfllvip.com/video/yushou/中字/index.m3u8

欲望街车,https://s1.bfllvip.com/video/yuwangjieche/中字/index.m3u8

校园女孩报告：性爱之时勿忘爱,https://s1.bfllvip.com/video/xiaoyuannvhaibaogaoxingaizhishiwuwangai/HD/index.m3u8

六本木令孃,https://s1.bfllvip.com/video/liubenmulingniang/HD/index.m3u8

白日梦2,https://s1.bfllvip.com/video/bairimeng2/HD/index.m3u8

扫苗工具,https://s1.bfllvip.com/video/saomiaogongju/HD/index.m3u8

欲焰浓情,https://s1.bfllvip.com/video/yuyannongqing/修复版/index.m3u8

越穷越见鬼,https://s1.bfllvip.com/video/yuqiongyujiangui/中字/index.m3u8

鬼叫春,https://s1.bfllvip.com/video/guijiaochun/HD高清/index.m3u8

怨妇淫娃疯杀手,https://s1.bfllvip.com/video/yuanfuyinwafengshashou/中字/index.m3u8

云雨生死恋,https://s1.bfllvip.com/video/yunyushengsilian/中字/index.m3u8

再试初夜情,https://s1.bfllvip.com/video/zaishichuyeqing/HD/index.m3u8

暂时停止做爱,https://s1.bfllvip.com/video/zanshitingzhizuoai/中字/index.m3u8

真奶姬功夫,https://s1.bfllvip.com/video/zhennaisigongfu2/HD/index.m3u8

早熟情人,https://s1.bfllvip.com/video/zaoshuqingren/HD/index.m3u8

占有欲强的女人,https://s1.bfllvip.com/video/zhanyouyuqiangdenvren/中字/index.m3u8

美术室的情事,https://s1.bfllvip.com/video/xinrennvjiaoshimeishushiqingshi/HD/index.m3u8

你吃我夜吃,https://s1.bfllvip.com/video/nichiwoyechi/HD/index.m3u8

不知廉耻,https://s1.bfllvip.com/video/buzhixiuchi2008/HD中字/index.m3u8

戏梦巴黎,https://s1.bfllvip.com/video/ximengbali/HD/index.m3u8

思春期诱惑New 2,https://s1.bfllvip.com/video/sichunqiyouhuoNew2/HD中字/index.m3u8

性福帮帮忙,https://s1.bfllvip.com/video/xingfubangbangmang/HD中字/index.m3u8

日本舞女,https://s1.bfllvip.com/video/ribenwunv/HD中字/index.m3u8

回忆初体验,https://s1.bfllvip.com/video/huiyichutiyan/HD中字/index.m3u8

现代情欲篇之换妻档案,https://s1.bfllvip.com/video/xiandaiqingyupianzhihuanqidangan/HD中字/index.m3u8

再次呼吸,https://s1.bfllvip.com/video/zaicihuxi/中字/index.m3u8

性交易2,https://s1.bfllvip.com/video/xingjiaoyi2/中字/index.m3u8

性喜剧,https://s1.bfllvip.com/video/xingxiju/中字/index.m3u8

性和死亡101,https://s1.bfllvip.com/video/xinghesiwang101/中字/index.m3u8

夏娃的女儿,https://s1.bfllvip.com/video/xiawadenver/中字/index.m3u8

雪地狂欢,https://s1.bfllvip.com/video/xuedikuanghuan/中字/index.m3u8

心跳时刻,https://s1.bfllvip.com/video/xintiaoshike/HD中字/index.m3u8

周末女孩,https://s1.bfllvip.com/video/zhoumonvhai/中字/index.m3u8

只爱你一个,https://s1.bfllvip.com/video/zhiainiyige/中字/index.m3u8

黑暗的羁绊,https://s1.bfllvip.com/video/heiandejiban/中字/index.m3u8

在云端,https://s1.bfllvip.com/video/zaiyunduanAlapaap/中字/index.m3u8

下流工作,https://s1.bfllvip.com/video/xialiugongzuo/中字/index.m3u8

性爱牛仔,https://s1.bfllvip.com/video/xingainiuzi/中字/index.m3u8

偷月情,https://s1.bfllvip.com/video/touyueqing/中字/index.m3u8

玩偶屋,https://s1.bfllvip.com/video/wanouwu/中字/index.m3u8

伊娃,https://s1.bfllvip.com/video/yiwa/中字/index.m3u8

TAHAN,https://s1.bfllvip.com/video/TAHAN2022/中字/index.m3u8

贝拉卢娜,https://s1.bfllvip.com/video/beilaluna/中字/index.m3u8

私钟真面目,https://s1.bfllvip.com/video/sizhongzhenmianmu/HD中字/index.m3u8

素女经之挑情宝鉴,https://s1.bfllvip.com/video/sunvjingzhitiaoqingbaojian/HD中字/index.m3u8

吉原炎上,https://s1.bfllvip.com/video/jiyuanyanshang1987/HD中字/index.m3u8

我们X她,https://s1.bfllvip.com/video/womenXta/HD中字/index.m3u8

1994应召女郎,https://s1.bfllvip.com/video/94yingzhaonvlang/HD中字/index.m3u8

敏感姬,https://s1.bfllvip.com/video/minganji/HD中字/index.m3u8

学生服务,https://s1.bfllvip.com/video/woqinaidekecheng/中字/index.m3u8

我姐姐是法官,https://s1.bfllvip.com/video/wojiejieshifaguan/中字/index.m3u8

天蝎座之夜3,https://s1.bfllvip.com/video/tianxiezuozhiye3/中字/index.m3u8

定之爱,https://s1.bfllvip.com/video/dingzhiai/HD中字/index.m3u8

情爱魔力,https://s1.bfllvip.com/video/qingaimoli/HD中字/index.m3u8

魔性之诱惑,https://s1.bfllvip.com/video/moxingzhiyouhuo/HD中字/index.m3u8

优雅的娼妇2,https://s1.bfllvip.com/video/youyadechangfu2/HD中字/index.m3u8

搜寻伊娃,https://s1.bfllvip.com/video/souxunyiwa/中字/index.m3u8

天地无伦,https://s1.bfllvip.com/video/tiandiwulun/中字/index.m3u8

市区,https://s1.bfllvip.com/video/shiqu/中字/index.m3u8

绝望主妇的秘密,https://s1.bfllvip.com/video/tuanguiliurenqiyuefuzhiyan/HD中字/index.m3u8

淫妖豪情,https://s1.bfllvip.com/video/yinyaohaoqing/HD中字/index.m3u8

闪亮的性,https://s1.bfllvip.com/video/shanliangdexing/中字/index.m3u8

十五天结束,https://s1.bfllvip.com/video/shiwutianjieshu/中字/index.m3u8

都会性男女,https://s1.bfllvip.com/video/duhuixingnannv/HD中字/index.m3u8

被抓奸的妻子朋友,https://s1.bfllvip.com/video/beizhuojiandeqizipengyou/HD中字/index.m3u8

烈火女警花,https://s1.bfllvip.com/video/liehuonvjinghua/HD中字/index.m3u8

兽性难驯,https://s1.bfllvip.com/video/shouxingnanxun/HD中字/index.m3u8

色欲情仇4,https://s1.bfllvip.com/video/seyuqingchou4/中字/index.m3u8

尸油3D,https://s1.bfllvip.com/video/shiyou3D/中字/index.m3u8

深喉,https://s1.bfllvip.com/video/shenhou/中字/index.m3u8

亲密情人之无限诱惑,https://s1.bfllvip.com/video/qinmiqingrenzhiwuxianyouhuo/HD中字/index.m3u8

疾风女人们,https://s1.bfllvip.com/video/zhanguoluokejifengnvrenmen/HD中字/index.m3u8

老板娘的加班费,https://s1.bfllvip.com/video/laobanniangdejiabanfei/HD中字/index.m3u8

丘陵谷仙女的密室诱惑,https://s1.bfllvip.com/video/qiulingguxiannvdemishiyouhuo/HD中字/index.m3u8

纵欲人妻：浓厚的爱,https://s1.bfllvip.com/video/zongyurenqinonghoudeai/HD中字/index.m3u8

巨乳娇峰,https://s1.bfllvip.com/video/jurujiaofeng/HD中字/index.m3u8

富美子之足,https://s1.bfllvip.com/video/fumeizizhizu/HD中字/index.m3u8

伪善者,https://s1.bfllvip.com/video/weishanzhe/HD中字/index.m3u8

百合的雨声,https://s1.bfllvip.com/video/baihedeyusheng/HD中字/index.m3u8

性灵猎人,https://s1.bfllvip.com/video/xinglinglierenAKEBI/HD中字/index.m3u8

溺爱：调教记忆,https://s1.bfllvip.com/video/niaidiaojiaojiyi/HD中字/index.m3u8

终极猎杀,https://s1.bfllvip.com/video/zhongjiliesha/中字/index.m3u8

中国性戏观,https://s1.bfllvip.com/video/zhongguoxingxiguan/中字/index.m3u8

中国O记之血腥情人,https://s1.bfllvip.com/video/zhongguoOjizhixuexingqingren/中字/index.m3u8

致命的外遇,https://s1.bfllvip.com/video/zhimingdewaiyu/中字/index.m3u8

制服的挑逗,https://s1.bfllvip.com/video/zhifudetiaodou/中字/index.m3u8

整容,https://s1.bfllvip.com/video/zhengrong/中字/index.m320

正牌韦小宝之奉旨沟女,https://s1.bfllvip.com/video/zhengpaiweixiaobaozhifengzhigounv1993/中字/index.m3u8

枕边物语,https://s1.bfllvip.com/video/zhenbianwuyu/中字/index.m3u8

强奸2之制服诱惑,https://s1.bfllvip.com/video/qiangjian2zhifuyouhuo/中字/index.m3u8

中港丽人,https://s1.bfllvip.com/video/zhonggangliren/修复版/index.m3u8

撞够本,https://s1.bfllvip.com/video/zhuanggouben/完整版/index.m3u8

足本肉蒲团,https://s1.bfllvip.com/video/zubenyuputuan/中字/index.m3u8

终极强奸2：原始兽性,https://s1.bfllvip.com/video/zhongjiqiangjian2yuanshishouxing/中字/index.m3u8

坐台小姐,https://s1.bfllvip.com/video/zuotaixiaojie/中字/index.m3u8

纵欲聊斋,https://s1.bfllvip.com/video/zongyuliaozhai/中字/index.m3u8

子曰：食色性也,https://s1.bfllvip.com/video/ziyueshisexingye/HD中字/index.m3u8

六月之蛇,https://s1.bfllvip.com/video/liuyuezhishe/HD/index.m3u8

净化,https://s1.bfllvip.com/video/jinghua2022/中字/index.m3u8

交通费,https://s1.bfllvip.com/video/jiaotongfei/中字/index.m3u8

金盆洗手,https://s1.bfllvip.com/video/jinpenxishouHugas/中字/index.m3u8

湖畔危情,https://s1.bfllvip.com/video/hupanweiqing/中字/index.m3u8

观房,https://s1.bfllvip.com/video/guanfang/中字/index.m3u8

妒忌,https://s1.bfllvip.com/video/duji/中字/index.m3u8

残存,https://s1.bfllvip.com/video/cancun/中字/index.m3u8

多布拉多,https://s1.bfllvip.com/video/duobuladuo/中字/index.m3u8

风流韵事,https://s1.bfllvip.com/video/fengliuyunshi/HD/index.m3u8

风流韵事2022,https://s1.bfllvip.com/video/fengliuyunshi/中字/index.m3u8

出轨,https://s1.bfllvip.com/video/chugui/HD中字/index.m3u8

超越天堂,https://s1.bfllvip.com/video/chaoyuetiantang/中字/index.m3u8

新倾国倾城,https://s1.bfllvip.com/video/xinqingguoqingcheng/国语无字/index.m3u8

陈列室,https://s1.bfllvip.com/video/chenlieshi/中字/index.m3u8

变更旅程,https://s1.bfllvip.com/video/biangenglvcheng/中字/index.m3u8

湿濡的情欲,https://s1.bfllvip.com/video/shirudeqingyu/HD中字/index.m3u8

爱的精灵,https://s1.bfllvip.com/video/aidejingling/HD中字/index.m3u8

愉悦与苦痛,https://s1.bfllvip.com/video/yuyueyukutong/中字/index.m3u8

死囚之舞,https://s1.bfllvip.com/video/siqiuzhiwu/中字/index.m3u8

夜挑情,https://s1.bfllvip.com/video/yetiaoqing/中字/index.m3u8

欲望酒店,https://s1.bfllvip.com/video/yuwangjiudian/中字/index.m3u8

赛琳娜的黄金,https://s1.bfllvip.com/video/sailinnadehuangjin/中字/index.m3u8

失去自我的女人,https://s1.bfllvip.com/video/shiquziwodenvren/中字/index.m3u8

撒贝尔还年轻,https://s1.bfllvip.com/video/sabeierhuanhennianqing/中字/index.m3u8

双面阿德拉,https://s1.bfllvip.com/video/shuangmianadela/HD中字/index.m3u8

我的性爱玩偶,https://s1.bfllvip.com/video/wodexingaiwanou/HD/index.m3u8

玩火,https://s1.bfllvip.com/video/wanhuo/中字/index.m3u8

网红影响,https://s1.bfllvip.com/video/wanghongyingxiang/中字/index.m3u8

延边女士风味季,https://s1.bfllvip.com/video/yanbiannvshifengweijiweishanjianban/HD中字/index.m3u8

五十道格雷阴影的性传奇,https://s1.bfllvip.com/video/wushidaogeleiyinyingdexingchuanqi/HD中字/index.m3u8

善良嫂子：无法忍受的日子,https://s1.bfllvip.com/video/shanliangsaoziwufarenshouderizi/HD中字/index.m3u8

蜜桃成熟时3之蜜桃仙子,https://s1.bfllvip.com/video/mitaochengshushi3zhimitaoxianzi/HD中字/index.m3u8

吸血少女大战再生萝莉,https://s1.bfllvip.com/video/xixueshaonvdazhanzaishengluoli/HD中字/index.m3u8

青春学院2：寄生与野史,https://s1.bfllvip.com/video/qingchunxuetang2jishengheyeshi/HD/index.m3u8

性感女星享受的性爱,https://s1.bfllvip.com/video/xinggannvxingxiangshoudexingai/HD中字/index.m3u8

大内密探之零零性性,https://s1.bfllvip.com/video/daneimitanzhilinglingxingxing/HD中字/index.m3u8

女人的战争之我是陶器,https://s1.bfllvip.com/video/nvrendezhanzhengzhiwoshitaoqi/HD/index.m3u8

聊斋艳谭3灯草和尚(陈宝莲),https://s1.bfllvip.com/video/liaozhaiyantan3dengcaoheshang/HD中字/index.m3u8

禁止的爱：善良的小姨子,https://s1.bfllvip.com/video/jinzhideaishanliangdexiaoyizi/HD中字/index.m3u8

朋友妈妈：无法忍受的日子,https://s1.bfllvip.com/video/pengyoumamawufarenshouderizi/HD中字/index.m3u8

赤裸羔羊2：性追缉令,https://s1.bfllvip.com/video/chiluogaoyang2xingzhuijiling/HD中字/index.m3u8

赤裸羔羊3：致命性感(邱淑贞+舒淇),https://s1.bfllvip.com/video/chiluogaoyang3zhimingkuaigan/HD中字/index.m3u8

保险女王：她的商业秘密,https://s1.bfllvip.com/video/baoxiannvwangtadeshangyemimi/HD中字/index.m3u8

